"index","corpus","source_relpath","source_ai","reference_png","source_size_bytes","source_sha256_before","source_sha256_after","override_scale_percent","override_reason","status","applied_scale_percent","output_ai","output_png","output_ai_sha256","output_png_sha256","audit_json","attempts","last_error"
"20","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_4.png","164664","d5d1c7320bfa21f07ae0901e492681b33fc81a5123275f549cb718384c9248d9","","","","PENDING","","","","","","","0",""
"21","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et4_6.png","208545","7b2fabc737c742eee29b29420972ecb93e1f93ef89f9e0573510bd274fdd7141","","","","PENDING","","","","","","","0",""
"22","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_1.png","199524","354e3cd35d544a6638a9994414363eac25fb6ef1c15ba3b346ba6dd8ceb96bca","","","","PENDING","","","","","","","0",""
"23","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_2.png","202288","31a788b11f2d53c48b074029a2104766d0db32289cd676665fe721d2fbba7488","","","","PENDING","","","","","","","0",""
"24","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_3.png","201979","bfe3d1d9e2248fa66b6358532d0ea1a974d6f86a238d07bc0a5608ad4a7b7a60","","","","PENDING","","","","","","","0",""
"25","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_5.png","232857","518fc96bb16de4b4073de5db77e0ef3a28f71f8da398df3fcbb9d035b4334cd0","","","","PENDING","","","","","","","0",""
"26","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et6_6.png","209552","fbafaa120a404839eb5727dd231567aea0acc7d4b06c531ecb4b685178e940d8","","","","PENDING","","","","","","","0",""
"27","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_1.png","320028","33a702526ca34d99368725ae4ee8f15e4415209e06efd47839309939b21f48b0","","","","PENDING","","","","","","","0",""
"28","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_2.png","251731","6f163c5c5de16ebfe835086d633833874c0b2d74411b58b00d72f53078e5ce66","","","","PENDING","","","","","","","0",""
"29","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s2_et1_3.png","177013","10b669383e4ebaf6108f41a302bc738cc5bdb7125a8f25dedfcbc8e5ad4edc91","","","","PENDING","","","","","","","0",""
